Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Audi,A6,2017,premium unleaded (recommended),252,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,354,24,3105,51600
BMW,i3,2015,electric,170,0,DIRECT_DRIVE,rear wheel drive,4,"Hatchback,Luxury",Compact,4dr Hatchback,111,137,3916,42400
BMW,i3,2016,electric,170,0,DIRECT_DRIVE,rear wheel drive,4,"Hatchback,Luxury",Compact,4dr Hatchback,111,137,3916,42400
BMW,i3,2017,electric,170,0,DIRECT_DRIVE,rear wheel drive,4,"Hatchback,Luxury",Compact,4dr Hatchback,111,137,3916,42400
Chevrolet,Bolt EV,2017,electric,200,,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,110,128,1385,40905
Chevrolet,Bolt EV,2017,electric,200,,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,110,128,1385,36620
Chevrolet,Spark EV,2014,electric,140,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,109,128,1385,27010
Chevrolet,Spark EV,2014,electric,140,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,109,128,1385,26685
Chevrolet,Spark EV,2015,electric,140,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,109,128,1385,25560
Chevrolet,Spark EV,2015,electric,140,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,109,128,1385,25170
Chevrolet,Spark EV,2016,electric,140,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,109,128,1385,25510
Chevrolet,Spark EV,2016,electric,140,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,109,128,1385,25120
FIAT,500e,2015,electric,,0,DIRECT_DRIVE,front wheel drive,2,Hatchback,Compact,2dr Hatchback,108,122,819,31800
Tesla,Model S,2016,electric,,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,107,101,1391,89500
